Artikelnummer;Artikelname
A00021;Pfand Nutzungsflasche - 37,- €
A99990;Transportkosten
A05031;Winner Frittierfett halbflüssig - 10L
A00030;Pfandrücknahme Bearbeitungspauschale - 0,02 €
A07800;Akustikpaneel MDF Schwarz, Filz Schwarz - 2780x575x21mm
A00001;Pfand Bier Flasche - 0,08 €
A09003;Bäckerbeutel 2-farbig (Typ424) 14+6x36cm - 1000Stk.
A00013;Pfand Kiste 20er - 4,50 €
A00015;Pfand Fass - 30 €
A00016;Pfand Kiste 28er - 3,74 €
A00005;Pfand Bier Flasche mit Bügelverschluss - 0,15 €
A00017;Pfand Kiste 12er (Bügelverschluss) - 3,30 €
A00019;Pfand Kiste 24er - 3,90 €
A00022;Pfand Europalette - 13,50 €
A00023;Pfand Gemüse Kiste - 0,90 €
A00020;Pfand Kohlensäure - 75,- €
A08884;Salatbox (149) klein - 100Stk.
A09711;Dasty Inox Professional Edelstahlreiniger grau - 750ml
A09011;Bäckerbeutel ohne Druck (Typ424) 14+6x36cm - 1000Stk.
A00027;Pfand Kiste 15er - 3,75 €
A00006;Pfand Kiste 6er - 2,40 €
A00007;Pfand Kiste 20er - 3,10 €
A00028;Pfand Chep Palette - 0,01 €
A00010;Pfand Kiste 16er - 3,90 €
A00011;Pfand Kiste 11er - 4,25 €
A09016;Bäckerbeutel ohne Druck (Typ435) 20+7x48cm - 500Stk.
A00029;Leergut Euro Palette - 13,50 €
A09019;Teufolino Bäckerbeutel 2-farbig 14+6x28cm - 1000Stk.
A09020;"Dönertüten ""weiß"" mit Druck (16x16cm) - 4kg"
A02498;Saki Raki Super Fresh - 0,35L
A08607;Nitril Handschuhe (M) ungepudert - 100Stk.
A08303;Feinkostbecher+Deckel (300ml) eckig - 5x50Stk.
A00018;Pfand Kiste 12er - 2,46 €
A00014;Pfand Kiste 24er - 5,10 €
A00008;Pfand Kiste 12er - 3,30 €
A00009;Pfand Kiste 24er - 3,42 €
A00012;Pfand Glas - 0,10 €
A00024;Pfand Gemüse Kiste - 3,86 €
A07801;Akustikpaneel MDF Grau, Filz Schwarz - 2780x575x21mm
A02804;Vecchia Chianti Docg 12,5%vol. - 0,75L
A07602;Pizzaschaufel - 30x35cm 71cm - 9504
A00025;Pfand Fleischbecken E2 - 5 €
A07802;Akustikpaneel MDF Eiche, Filz Schwarz - 2780x575x21mm
